Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
164,Kuru,6b/Ae,330,Dent d'en Rossell,Vall de Núria,2016-09,http://elprincepdelesmaduixes.blogspot.com.es/2016/09/tremolor-amb-febre-i-fred.html,"42.40, 2.15"
165,El último Buril,V+,270,Paret del Pessó,Collegats,2016-10,http://elprincepdelesmaduixes.blogspot.com.es/2016/10/les-granotes.html,"42.275, 0.992"
166,Sultans of Swing,V+/Ae,140,Gorra Marinera,Montserrat,2017-04,http://elprincepdelesmaduixes.blogspot.com.es/2017/04/retrobant-antigues-sensacions.html,"41.5889, 1.8287"
167,Tàrrega,V,180,Roca dels Arcs,Vilanova de Meià,2017-05,http://elprincepdelesmaduixes.blogspot.com.es/2017/05/es-tard-i-vol-ploure.html,"41.998, 1.018"
168,Dos tontos muy tontos,6a+,160,Cap del Ras,Àger,2017-05,http://elprincepdelesmaduixes.blogspot.com.es/2017/05/avall-que-fa-baixada.html,"42.0411, 0.7593"
169,Punsola-Reniu,V/Ae,240,Cavall Bernat,Montserrat,2017-05,http://elprincepdelesmaduixes.blogspot.com.es/2017/05/aromes-de-montserrat.html,"41.6007, 1.8227"
170,Camí del Tro,6a,140,Pollegó Inferior,Pedraforca,2017-05,http://elprincepdelesmaduixes.blogspot.com.es/2017/05/senderisme-vertical.html,"42.2345, 1.7083"
171,Diedre Laffranque,V,270,Tossal del Molar Gran,Vall de Besiberri,2017-06,http://elprincepdelesmaduixes.blogspot.com.es/2017/06/mes-lluny-i-mes-amunt.html,"42.6124, 0.8137"
172,Història inacabable,6b,230,Dent del Rossell,Vall de Núria,2017-07,https://elprincepdelesmaduixes.blogspot.com.es/2017/07/cadena-de-cintes.html,"42.3667, 2.1640"
173,Cresta Gasamir-Canigó,III+,100,Pica del Canigó,Massís del Canigó,2017-08,http://elprincepdelesmaduixes.blogspot.com.es/2017/08/alpina-extrema-i-solidaria.html,"42.5192, 2.4565"
174,Alta tensió,6a,85,Càmping,Montserrat.,2017-08,http://elprincepdelesmaduixes.blogspot.com.es/2017/08/magnesi-i-sardanes.html,"41.5960, 1.8310"
175,Alan Parsons Project,V,105,Torre de Marfil,Ampriu,2017-09,http://elprincepdelesmaduixes.blogspot.com.es/2017/09/essencies-destiu.html,"42.5747, 0.5609"
176,The Nutcracker,5.9,655',Manure Pile Buttress,Yosemite Valley,2017-09,http://elprincepdelesmaduixes.blogspot.com.es/2017/09/somnis-de-pellicula.html,"37.7316, -119.6187"
177,Gran Diedro,V+,210,Pic Russell,Massís de l'Aneto,2017-09,https://elprincepdelesmaduixes.blogspot.com.es/2017/09/alpinisme-destiu.html,"42.6168, 0.6725"
178,Didgeridú,6b,85,Paret del Pont,Montserrat,2017-09,http://elprincepdelesmaduixes.blogspot.com.es/2017/09/entre-via-i-via.html,"41.5906, 1.8162"
179,Son de la llarga,6b/Ae,120,Pollegó Est,Montserrat,2017-11,http://elprincepdelesmaduixes.blogspot.com.es/2017/11/de-ca-lample.html,"41.5859, 1.8171"
180,Little Bighorn,7a,175,Roca Gris,Montserrat,2017-11,http://elprincepdelesmaduixes.blogspot.com.es/2017/11/montselandia.html,"41.5964, 1.8336"
181,GEM,7a,175,Plecs de la Vinya Nova,Montserrat,2017-11,http://elprincepdelesmaduixes.blogspot.com.es/2017/11/montselandia.html,"41.5897, 1.8161"
182,Normal Cara Sud,III,55,El Moro,Montserrat,2017-11,http://elprincepdelesmaduixes.blogspot.com.es/2017/11/la-perla.html,"41.3605, 1.0654"
183,Irene y la Paz,6c,200,Mallo Frechín,Riglos,2017-11,http://elprincepdelesmaduixes.blogspot.com.es/2017/11/la-bolera.html,"42.3505, -0.7253"
184,Currucuclillo,6b+,230,Mallo Frechín,Riglos,2018-05,http://elprincepdelesmaduixes.blogspot.com.es/2018/05/canvi-de-muda.html,"42.3505, -0.7253"
185,Diedre Blanqueta,V+,230,Pala Alta,Montroig,2018-05,http://elprincepdelesmaduixes.blogspot.com.es/2018/05/no-plovia-tot-arreu.html,"41.0983, 0.9336"
186,CADE,V+/Ae,580,Paret de les Bagasses,Terradets,2018-06,http://elprincepdelesmaduixes.blogspot.com/2018/06/la-inacabable.html,"42.035, 0.884"
187,Que pum que pam,6a,100,la Granota,Montserrat,2018-07,http://elprincepdelesmaduixes.blogspot.com/2018/07/la-bola.html,"41.5909, 1.8366"
188,15 Gendarmes d'Alba,IV+,1000,Pic d'Alba,Massís de l'Aneto,2018-07,http://elprincepdelesmaduixes.blogspot.com/2018/07/cresta-dalba-iv-pic-dalba-massis-de-la.html,"42.6557, 0.6206"
189,Doctor Neret,6b,240,Dent d'en Rossell,Vall de Núria,2018-11,http://elprincepdelesmaduixes.blogspot.com/2018/11/granit-de-llevant.html,"42.40, 2.15"
190,Cresta de Tumeneia,IV+,700,Cresta de les Torres,Tuc de Tumeneia,2018-09,http://elprincepdelesmaduixes.blogspot.com/2018/09/cavalls-de-colors.html,"42.6530, 0.9320"
191,Esperó Cremasants,V/V+,210,Agulla Jordi Pujol,Cavallers,2018-09,,"42.59, 0.85"
192,Embarquement immédiat,V+,200,Muralla de Cap de Long,Massís del Néouvielle,2018-09,http://elprincepdelesmaduixes.blogspot.com/2018/09/abans-i-despres.html,"42.8204, 0.1352"
193,Cresta dels Tres Consellers,IV+,400,Pic del Néouvielle,Pic del Néouvielle,2018-09,http://elprincepdelesmaduixes.blogspot.com/2018/09/passarella-fins-al-cim.html,"42.8410, 0.1320"
194,L'Insoutenable Légèreté de l'Être,V+,200,Muralla de Cap de Long,Massís del Néouvielle,2018-09,http://elprincepdelesmaduixes.blogspot.com/2018/09/abans-i-despres.html,"42.8204, 0.1352"
195,Sendero Límite,6a+,200,Forronías,Panticosa,2018-10,http://elprincepdelesmaduixes.blogspot.com/2018/10/fi-de-festa.html,"42.7326, -0.2716"
196,Estasen,IV+,600,Calderer,Pedraforca,2018-10,http://elprincepdelesmaduixes.blogspot.com/2018/10/we-dont-need-roads.html,"42.2401, 1.7103"
197,Normal,V+,90,Cavall Bernat,Montserrat,2018-11,http://elprincepdelesmaduixes.blogspot.com/2018/11/rotpunkt-romantic.html,"41.6007, 1.8227"
198,Tarantel·la,6a,175,Roca Gris,Montserrat,2018-12,http://elprincepdelesmaduixes.blogspot.com/2018/12/la-grossa-de-nadal.html,"41.5964, 1.8336"
199,Estereotip,6a,175,Serrat dels Monjos,Montserrat,2018-12,http://elprincepdelesmaduixes.blogspot.com/2018/12/la-grossa-de-nadal.html,"41.5759, 1.8429"
200,Aresta Ribas,6a,175,Pollegó Oest,Montserrat,2018-12,http://elprincepdelesmaduixes.blogspot.com/2018/12/la-grossa-de-nadal.html,"41.5871, 1.8153"
201,Ribas-Sabaté,V,100,El Cilindre,Sant Llorenç de Montgai,2019-01,http://elprincepdelesmaduixes.blogspot.com/2019/01/dia-tonto.html,"41.873, 0.852"
202,J. A. Sanz,6b,220,Mallo Frechín,Riglos,2019-07,http://elprincepdelesmaduixes.blogspot.com/2019/07/a-dalt-10-de-1000.html,"42.3505, -0.7253"
203,Afrodita,6b,220,La Predicadera,Penya Predicadera,2019-07,http://elprincepdelesmaduixes.blogspot.com/2019/07/a-dalt-10-de-1000.html,"42.3020, -0.5740"
204,The Wall,V,110,L'Elefant,Montserrat,2019-07,http://elprincepdelesmaduixes.blogspot.com/2019/07/reunions.html,"41.596, 1.835"
205,A. C. Valdric,V,230,Pic de la Solana de Llauset,Pic de la Solana de Llauset,2019-07,https://elprincepdelesmaduixes.blogspot.com/2019/07/matisos.html,"42.5933, 0.6884"
